T32UPB_20190626T102031_B04_10m|2019-06-26 10:20:31|2019-06-26 10:20:32
T32UPB_20190626T102031_B08_10m|2019-06-26 10:20:31|2019-06-26 10:20:32
T32UPB_20190726T102031_B04_10m|2019-07-26 10:20:31|2019-07-26 10:20:32
T32UPB_20190726T102031_B08_10m|2019-07-26 10:20:31|2019-07-26 10:20:32
T32UPB_20190825T102031_B04_10m|2019-08-25 10:20:31|2019-08-25 10:20:32
T32UPB_20190825T102031_B08_10m|2019-08-25 10:20:31|2019-08-25 10:20:32
T32UPB_20190830T102029_B04_10m|2019-08-30 10:20:29|2019-08-30 10:20:30
T32UPB_20190830T102029_B08_10m|2019-08-30 10:20:29|2019-08-30 10:20:30
T32UPB_20190904T102021_B04_10m|2019-09-04 10:20:21|2019-09-04 10:20:22
T32UPB_20190904T102021_B08_10m|2019-09-04 10:20:21|2019-09-04 10:20:22
T32UPB_20190914T102021_B04_10m|2019-09-14 10:20:21|2019-09-14 10:20:22
T32UPB_20190914T102021_B08_10m|2019-09-14 10:20:21|2019-09-14 10:20:22
T32UPB_20200102T102421_B04_10m|2020-01-02 10:24:21|2020-01-02 10:24:22
T32UPB_20200102T102421_B08_10m|2020-01-02 10:24:21|2020-01-02 10:24:22
T32UPB_20200117T102249_B04_10m|2020-01-17 10:22:49|2020-01-17 10:22:50
T32UPB_20200117T102249_B08_10m|2020-01-17 10:22:49|2020-01-17 10:22:50
